Hospital Name,Address,CITY,STATE,PIN CODE,PPN / NON PPN
Asg Eye Hospital,"Ground Floor, Corporate Plaza, Gopal Vihar Colony Varanasi,Near Agr Automobile,
Mahmoorganj,,NIL",VARANASI,UTTAR PRADESH,221010,NON PPN
Asg Eye Hospitals Sardarpura,"438 2nd D-Road,,,Sardarpura",Jodhpur,RAJASTHAN,342003,NON PPN
Asg Hospital Pvt Ltd Paota,"2a Section 7 Extn, New Power House Road,7-8, 4th Floor,Mandore Road-PaotaNIL",JODHPUR,RAJASTHAN,342003,NON PPN
Asg Hospital Pvt Ltd,"A-322,Near Hanuwant School,,Shastri Nagar,NIL",JODHPUR,RAJASTHAN,342003,NON PPN
Asg Hospital Pvt Ltd Balotra,"Nahta Hospital Road Near Ram Kutiya,,",Balotra,RAJASTHAN,344022,NON PPN
Asg Hospital Pvt Ltd Basni Jodhpur,"Plot No.136-B Sector-A Saraswati Nagar,,Basni Jodhpur",Jodhpur,RAJASTHAN,342001,NON PPN
Asg Hospital Pvt Ltd Mansarovar,"No.94/7 Madhyam Narg Vijay Path Chouraha,,Mansarovar",Jaipur,RAJASTHAN,302020,NON PPN
Asg Hospital Pvt Ltd Pali,"Opp Bangar College,,Bajrang Bagh Road,,Pali",Jaipur,RAJASTHAN,306401,NON PPN
Asg Hospital Pvt Ltd Vaishalinagar Jaipur,"No.A/18 Ridhi Sidhi Tower Near Vaishali Tower To Nursery Circle,Vaishali Nagar,",Jaipur,RAJASTHAN,302001,NON PPN
ASG HOSPITAL PVT. LTD,"Unit No-G1 Ground Floor,Ozone Center,Ashok NagarNIL",DHANBAD,JHARKHAND,826001,NON PPN
Asg Hospital Pvt Ltd (Ganganagar ),"House No.2-F-8 ,,Jawahar Nagar,Sri Ganganagar",Sriganganagar,RAJASTHAN,335001,NON PPN
Asg Hospital Pvt Ltd,"Navin Plaza, Near Anzanpeer Chowk",HAJIPUR,BIHAR,844101,NON PPN
Asg Hospital Pvt Ltd (Jamshedpur),"No.159 Dhalbhum Road,Snp Area, Sakchi",JAMSHEDPUR,JHARKHAND,831002,NON PPN
Asg Hospital Pvt Ltd Muzaffarpur,"Hathi Chowk Holding No.457d Ward No.35,Ps:Mithanpura P.O:Ramna,NIL",MUZFFARPUR,BIHAR,842001,NON PPN
Asg Hospital Pvt Ltd (Nagaur),"House No-30 Sainik Colony,,Near Sugan Singh Circle,Nagaur",Nagaur,RAJASTHAN,341001,NON PPN
Asg Hospital Pvt Ltd (Udaipur),"# 7c-2 Meera Marg Opp Rsmm Office,Near Meera Bai Girls College,MadhubanNIL",UDAIPUR,RAJASTHAN,313004,NON PPN
Asg Hospital Pvt Ltd,"Plot No.1, Shyam Nagar,,,Pal Link Road,JodhpurNIL",JODHPUR,RAJASTHAN,342001,NON PPN
Asg Hospital Pvt Ltd,"Shubham Redstone, 1st Floor, G S Stone, Downtown",GUWAHATI,ASSAM,781006,NON PPN
ASG Hospital Pvt Ltd Srinagar,"M.A. Plaza, S.K. Colony Sector - 01, Near Ansari House,",SRINAGAR,JAMMU KASHMIR,190010,NON PPN
Asha Hospital,"1st Floor, Rajalaxmi Complex,,Thane -Bhiwandi Road, Opp Jai Mata Di Compund
,,Kalher,NIL",THANE,MAHARASHTRA,421305,PPN
Ashirvad Multispeciality Hospital,"B - 38/1-C, Birdopur,,Mahmoorganj,NIL",VARANASI,UTTAR PRADESH,221010,NON PPN
Ashirwad Critical Care Unit And Multispeciality Hospital,"1st, 2nd, Navinjyot Buliding,,R.R.T. Road, Opposite Om Jewellers,,Mulund (W)NIL",MUMBAI,MAHARASHTRA,400080,PPN
Ashirwad Heart Hospital,"Vivek Building,Tilak Road,,Ghatkopar",MUMBAI,MAHARASHTRA,400077,PPN
Ashirwad Hospital (Bhiwandi),"2nd Floor R. K. Business Centre,,Above Torrent Power Customer Care, Kalyan
Naka,,Bhiwandi",Thane,MAHARASHTRA,421308,NON PPN
Ashirwad Maternity And Nursing Home,"Building No E-5, Highland Park,,Mulund Colony, Guru Gobind Singh Road, Mulund
West",MUMBAI,MAHARASHTRA,400082,NON PPN
Ashirwad Nursing Home (Sion),"Raigir Sadan, Opp.Sion Railway Station,,Laxmi Marg,,Sion(W)NIL",MUMBAI,MAHARASHTRA,400022,PPN
Ashoka Hospital,"South Bazar,,Near Kannur Taluka Office,KannurNIL",KANNUR,KERALA,670002,NON PPN
Ashraya Hospital (Naidu Street),"P B No. 77 Naidu Street,,Naidu Street",Chikmaglur,KARNATAKA,577101,NON PPN
Ashtvinayak Hospital,"Plot No.10, Sector 6,,Khanda Colony, Near Khandeshwar Temple,,New PanvelNIL",NAVI MUMBAI,MAHARASHTRA,410206,PPN
Ashwin Hospital (Coimbatore),"1, Alamu Nagar Road,Gandhipuram,",COIMBATORE,TAMILNADU,641012,PPN
Ashwini Sahakari Rugnalaya ANI Sansodhan Kendra,"Survey No 7107/1, Tank Plot No 180, North Sadar Bazaar, Jawaharlal Housing
Society",SOLAPUR,MAHARASHTRA,413003,NON PPN
Ashwini Hospital (Bangalore),"No. 1022, Opp To B.D.K Kalyana Mantap,,B.B.Road,,Yelahanka",Bangalore,KARNATAKA,560064,NON PPN
Asian Eye Hospital,"Sakar 10, 3rd Floor, Above Fab India , Oppiste Jehangir Hospital, Sasoon Road,",PUNE,MAHARASHTRA,411001,PPN
Asian Noble Hospitals Pvt Ltd,"Dhanaji Nagar, Premdan Chowk, Savedi, NIL",AHMEDNAGAR,MAHARASHTRA,414003,NON PPN
"Asian Superspeciality Hospital And Trauma Centre ( A Unit
Of SNR Healthcare)","Chandpole Bazar, Behind Zanana Hospital,,Near Pareek College,NIL",JAIPUR,RAJASTHAN,302016,NON PPN
Asian Vivekanand Super Specialty Hospital,"Kanth Road,Moradabad,MoradabadNear MDA Office",MORADABAD,UTTAR PRADESH,244001,NON PPN
Asopa Hospital,"93-B, Tagore Nagar, Near Kiran Place, Ajmer Road",JAIPUR,RAJASTHAN,302021,PPN
Asten Specialty Orthopaedic Hospital,"Nh-17 Bypass,Pantheerankavu,NIL",KOZHIKODE,KERALA,673019,NON PPN
Astha Hospital (Pcmc),"Malu Trade Centre, Plot No 25,,Near Lok Seva Petrol Pump, Spine Road,
Pcntdc,Near Tata Motors,NIL",PUNE,MAHARASHTRA,411019,PPN
Athena Hospital,"Falnir Road,,MangaloreNIL",MANGALORE,KARNATAKA,575001,NON PPN
Athipathi Hospital And Research Centre,"No. 4, 100 Ft Rood,,Tansinagar,,Velachery",Chennai,TAMILNADU,600042,PPN
Aurobindo Netralaya,"4a, Rajendra Deb Road,,NIL",KOLKATA,WEST BENGAL,700007,PPN
Avadhoot Hospital And Iccu,"Plot No. 29,Near Nhp School, Sector - 19,,AiroliNIL",NAVI MUMBAI,MAHARASHTRA,400708,PPN
Avanti Institute Of Cardiology Pvt Ltd,"5, Abhyankar Road, Dhantoli",NAGPUR,MAHARASHTRA,440012,NON PPN
Avasthi Bone And Joint Clinic Hospital,"135, Green Park, Opp. Prince Hostel, Civil Lines",LUDHIANA,PUNJAB,141001,PPN
Aveksha Hospital(A Unit Of Aarogya Health Care Services),"122, Varadarajaswamy Layout,Singapura,Ms PalyaNIL",BANGALORE,KARNATAKA,560097,PPN
Axon Multispeciality Hospital,"5 Th Floor, `A` Wing, Pranik Chamber, Sakinaka Junction, Andheri East",MUMBAI,MAHARASHTRA,400072,PPN
B And J Superspeciality Hospital And Research Center,"Mhalsa Resedency,Plot No 6, Sector 36,Above State Bank Of India,Kamothe",NAVI MUMBAI,MAHARASHTRA,410209,PPN
BM Parikh Foundation Trust,"Samal Bechar Pole, MG Road, Opp Ambamata Mandir",VADODARA,GUJARAT,390001,NON PPN
BD Pathak Hospital,"18/1-A, D1d2, Civil Lines,,Nainital Road, Rudrapur,,Sgad Complex, U.S.NagarNIL",RUDRAPUR,UTTARAKHAND,263001,NON PPN
BM Orthopaedic Hospital,"3/157, M.T.H.Road,AmbatturNIL",CHENNAI,TAMILNADU,600053,NON PPN
B.S.Sacklecha Hospital,"Plot No.2,Shriram Colony,,Infront Of Vrindavan Garden,,Hoshangabad Road,NIL",BHOPAL,MADHYA PRADESH,462047,NON PPN
Baby Memorial Hospital,"Indira Gandhi Road,Kozhikode,NIL",KOZHIKODE,KERALA,673004,NON PPN
Badwaik Maternity And General Hospital,"L.B.S. Marg,,Jain Mandir,,Bhandup,NIL",MUMBAI,MAHARASHTRA,400078,PPN
Bagra Maternity And General Hospital,"Saipura Bypass, Diggi Road,,Madrampura, Sanganer,",Jaipur,RAJASTHAN,302029,NON PPN
Bajwa Hospital,"314/315, Akash Avenue, Fatehgarh Churian Mathija Road",AMRITSAR,PUNJAB,143001,PPN
Balaji Ent And Eye Hospital,"1st Floor, A-Wing,,Bhagwatiashish Appt, Murbad Road, Sindhigate,Kalyan (W)NIL",THANE,MAHARASHTRA,421301,PPN
Balaji Hospital Bhayandar,"Golden Nest, Phase V I,,Mira - Bhayander Road,,Bhayander(E)NIL",THANE,MAHARASHTRA,401105,PPN
Balaji Hospital-Thane,"Sai Dham App,,1st Floor ,Nr Ideal School,NIL",THANE,MAHARASHTRA,421306,PPN
Bangalore Institute Of Gastroenterology,"34,100 Feet Road,,Ashoka Pillar Rd,2nd Block Jaya Nagar (E),BengaluruNIL",BANGALORE,KARNATAKA,560011,PPN
Bangalore Netralaya,"945, 21st Main,,Banashankari,,2nd Stage,",Bangalore,KARNATAKA,560070,NON PPN
Bangur Medicare Research Institute,"8a- Diamond Harbour Road, Thakurpukur,Kolkata,Thakurpukur 3a Bus Stand And
3ust Behind,ThakurpukurNIL",KOLKATA,WEST BENGAL,700063,PPN
Bansal Eye And Maternity Hospital,"121, Civil Lines, Mixi Chowk, Near Kalka Chowk",AMBALA,HARYANA,134003,PPN
Bansal Eye Hospital And Laser Centre,"41 Bank Colony, Khalsa College Road",PATIALA,PUNJAB,147001,NON PPN
Bansal Hospital(Jaip),"4,Janakpuri,1st, Imli Wala Phatak,Near Vidhan SabhaNIL",JAIPUR,RAJASTHAN,302005,PPN
Bansal Hospital(Ludi),"Near Bhuriwala, Opposite Bhuriwala Gurudwara, Haibowal Kalan,",LUDHIANA,PUNJAB,141001,PPN
Baroma Sirona Hospital,"Dakshin Mechogram, P.O. Uttar Mechogram,,P.S. Panskura, Dist-Purba Medinipur,",Medinipur,WEST BENGAL,721139,NON PPN
BARRACKPORE CITY HOSPITAL PVT LTD,"161(86)East Ghosh Para Road,,Barrackpore",KOLKATA,WEST BENGAL,700120,PPN
Basavanagudi Medical Centre,"#84/1, Rv Road, Basavanagudi,,NIL",BANGALORE,KARNATAKA,560004,PPN
Baweja Multispeciality Hospital,"1571/39, Preet Colony,,Opp Civil Hospital, Rupnagar,",ROPAR,PUNJAB,140001,NON PPN
Be Well Hospitals T Nagar,"#5/A, Vijaya Raghava Road, T Nagarnil",CHENNAI,TAMILNADU,600017,PPN
Be Well Speciality Hospitals,"#15, Bank Street, Kilpauknil",CHENNAI,TAMILNADU,600010,PPN
Beams Hospitals Pvt Ltd,"640,12th Main,80 Ft Road,,4th Block,,Koramangala,",Bangalore,KARNATAKA,560034,NON PPN
Belaku Eye Hospital Pvt Ltd,"769, 1st Ring Road,,Behind Vijay Bank,,Kengeri UpanagaraBangalore",BANGALORE,KARNATAKA,560060,PPN
Belle Vue Clinic,"9, Dr UN Brammachari Street, Near Mintoo Park",KOLKATA,WEST BENGAL,700017,PPN
Belle Vue Nursing Home Pvt Ltd,"Sejal Building, First Floor,Off Veera Desai Rd. Versova,Andheri(W)",Mumbai,MAHARASHTRA,400053,PPN
Bgm Hospital,"249, New Natham Road,,Ayyer Bungalow Bus Stop,,NIL",MADURAI,TAMILNADU,625017,NON PPN
Apollo BGS Hospital(Mysore),"19, Adichunchangiri Road,,Kuvempunagar,KuvempunagarNIL",MYSORE,KARNATAKA,570023,NON PPN
Bhagwan Mahaveer Darshan Eye Hospital (Mysore),"Opp. KR Mill, Mysore Bangalore High Way Road,, Siddalingapura PostNIL",MYSORE,KARNATAKA,570003,NON PPN
Bhagwan Mahaveer Hospital And Research Centre,"Opp. Brahman Dharmshala, Bayana Road, Hindaun City, Near Maniram Park,,,",Jaipur,RAJASTHAN,322230,NON PPN
Bhagwan Mahavir Medica Superspecialty Hospital,"Bariatu Road, In front of P.H.E.D Colony, Near Booty More, Ranchi, Jharkhand
834009Ranchi",RANCHI,JHARKHAND,834009,NON PPN
Bhagwati Healthcare Pvt Ltd ( Badlapur ),"Plot No.2, Rameshwadi,,Kulgaon Badlapur Road,Badlapur(W)NIL",THANE,MAHARASHTRA,421503,PPN
Bhagya Shree Hospital,"231,233,Mangal Pandey Nagar,Near Bharat Petrol Pump,Garh Road",MEERUT,UTTAR PRADESH,250005,NON PPN
Bhairavnath Hospital,"Pitale Colony Road, Nagapur MIDC, Nagar Manmad Road ,NIL",AHMEDNAGAR,MAHARASHTRA,414001,PPN
BHAKTI VEDANTA HOSPITAL,"Sector 1,,Srishti Complex,,Mira Road(E)NIL",THANE,MAHARASHTRA,401107,PPN
Bhanavi Hospital,"#P2, Jcst, Anikethana Road, E & F Block, Kuvempunagar",MYSORE,KARNATAKA,570023,NON PPN
Bhandari Memorial Hospital,"659, Napier, Tower,Near Vaibhav Talkies, Near Payal Talkies",JABALPUR,MADHYA PRADESH,482001,NON PPN
Bharani Hospital (The Specialities Healthcare),"22, Arcot Road,,Saligramam,Chennai",Chennai,TAMILNADU,600093,PPN
Bharath Hospital And Institute Of Oncology,"No 438,Hebbal Area,MysoreMysore",MYSORE,KARNATAKA,570017,NON PPN
Bharath Hospital,"Azad Lane, Puthenangady",KOTTAYAM,KERALA,686001,NON PPN
Bharath Rural Hospital And Trining Centre,"South Kuriyappilly Moothakunnam(Po),N. Paravoor,N. ParavoorNIL",ERNAKULAM,KERALA,683516,NON PPN
Bharathi Hospital (Madurai),"No-115,Alagar Kovil Road,K. Pudur,Opp Canara Bank,",MADURAI,TAMILNADU,625007,NON PPN
Bharathi Hospital,"Opp. Neps, (Police Station),Near Bhadramma Choultry,,2nd
CrossshankarapuramTumkur",TUMKUR,KARNATAKA,572101,NON PPN
Bhargava Hospital And Trauma Centre,"S. 8/457 A,,Pandeypur Police Line Crossing,,Andha MubNIL",VARANASI,UTTAR PRADESH,221002,NON PPN
Bhargava Medical And Trauma Centre,"30 E, O Block, Kidwai Nagar, Near Baradevi Chauraha",KANPUR,UTTAR PRADESH,208023,NON PPN
Bharti Eye Hospital,"E-52, Greater Kailash-1,,New M-Block Market,,Greater KailashNIL",NEW DELHI,DELHI,110048,PPN
Bhatia Nursing Home (Ballabigarh),"Panjabi Wara,Near Gupta Hotel, Mohan Road,Ballabigarh",FARIDABAD,HARYANA,121004,PPN
Bhatt Eye Hospital,"97 Janata Society,,Tagore Road,",Rajkot,GUJARAT,360001,NON PPN
"Bhattacharyya Orthopaedics And Releted Research Centre
Pvt Ltd","Srcm Road, Narayanpur,,P.O. Rajarhat-Gopalpur,,Kolkata",KOLKATA,WEST BENGAL,700136,PPN
Bhatwal Surgical And Maternity Hospital,"111A, Agrawal Nagar, Malegaon Road,",DHULE,MAHARASHTRA,424001,NON PPN
Bhavans Sarada Devi Hospital,"Dr A S Rao Nagar Rd,,Officers Colony, Dr As Rao Nagar, Sainikpuri","SECUNDERABA
D",TELANGANA,500094,PPN
Bhupal Hospital Meerut,"159, Begum Bridge Road,Near Ganga Plaza Complex,NIL",MEERUT,UTTAR PRADESH,250001,NON PPN
Bibi Cancer Hospital,"16-3-991 / 1 / C,Goverment Printing Press Road,Malakpet",Hyderabad,TELANGANA,500036,PPN
Billroth Hospitals,"43, Lakshmi Talkies Road, NIL",CHENNAI,TAMILNADU,600030,PPN
Billroth Hospitals(Chen),"52, 2nd Main Road, Rajaannamalaipuram",CHENNAI,TAMILNADU,600028,PPN
Bilva Hospital,"No21,22, Near Vinayak Circle,,2nd Main Road,Palace Guttahalli",Bangalore,KARNATAKA,560003,NON PPN
Bimr Hospitals,"Surya Mandir Road,,Residency,,MorarNIL",GWALIOR,MADHYA PRADESH,474005,NON PPN
Bina Clinic Eye Care Centre,"11-B ,Sampatrao Colony,R.C.Dutt Road,Alkapuri,NIL",VADODARA,GUJARAT,390005,NON PPN
Binayak Multi Speciality Hospital,"59, Kali Charan Ghosh Road,,,Kolkata",KOLKATA,WEST BENGAL,700050,PPN
Bindubasini Nursing Home,"76, Madhusudan Banerjee Road,,Birati,Kolkata",KOLKATA,WEST BENGAL,700051,PPN
Birla Eye And Child Hospital,"2-NA-22, Main Road,Dadabari, Chota Chauraha,Dadabari,NIL",KOTA,RAJASTHAN,324005,NON PPN
Bishop Benziger Hospital,"Tc. No. 21/44 Beach Road ,,Tc. No. 21/44,NIL",KOLLAM,KERALA,691001,NON PPN
Barrackpore Medicare & Recovery Centre Ltd,"6/6, BT Road,Talpukur, Titagarh, 24 Paraganas",KOLKATA,WEST BENGAL,700124,PPN
Boon Ivf Center,"D, 20 Souhard Complex, 2nd Floor, Nanda Doctor House,,Near Hdfc Ba,,Opp Drive-
In Cinema, Bondakde",Ahmedabad,GUJARAT,380054,PPN
Brahmananda Narayana Hrudayalaya,"Near Pardih Chowk, Tamolia, NH-33,NIL",JAMSHEDPUR,JHARKHAND,831012,NON PPN
"Brain The Institute Of Medical Super Specialities
(Aurangabad)","Nutan Colony,,Kranti Chock,,Kranti Chock,",Aurangabad,MAHARASHTRA,431001,NON PPN
Brar Eye Centre,"5 - A, Malhar Cinema Road, Sarabha Nagar",LUDHIANA,PUNJAB,141001,PPN
Brindhavan Arieon Hospital,"17, 4th Main Road, Chamrajpat",BANGALORE,KARNATAKA,560018,PPN
Bristlecone Hospitals (A Unit Of Virinchi Ltd),"Plot No 5 & 9, Padmavathi Colony, Beside Saibaba Temple, R. R. District,Hayath
Nagar",HYDERABAD,TELANGANA,501505,PPN
Brj Ortho Centre And Mak Hospital,"2-1 Raju Nagar Fertilizer Company Stop,,Mettupalayam Road,,Coimbatore",Coimbatore,TAMILNADU,641043,PPN
BSR ENT & Eye Nursing Home,"111, Karam Complex,,Opp Karan Hotel, S D Road,,SecunderabadNIL","SECUNDERABA
D",TELANGANA,500026,PPN
Bss Hospital,"200 R.K Mutt Road,,Mandaveli,Perumal Koil Thottam, Ramakrishna Nagar,",CHENNAI,TAMILNADU,600028,PPN
CC Shroff Memorial Hospital,"3-4-801, Near Tourist Hotel, Kachiguda, Barkatpura",HYDERABAD,TELANGANA,500027,PPN
C. K. Hospital,"27, Balasubbarayalu Street,,,Erode",Erode,TAMILNADU,638001,PPN
CBLM Memorial Holy Family Hospital,"43, Ashok Vihar, Ambabadi Puliya Bridge, Jhoiwara Road,Behind Petrol
Pump,,Zhotvada RoadNIL",JAIPUR,RAJASTHAN,302012,PPN
Calcutta Heart Clinic And Hospital,"Hc-4, Block-3,,Bidhannagar, Kolkata,West Bengal,NIL",KOLKATA,WEST BENGAL,700106,PPN
Capitol Hospital,"Jalandhar-Pathankot Road, Nh-44, Near Reru Chowk,",JALANDHAR,PUNJAB,144012,PPN
Cardinal Gracias Memorial Hospital,"Banglinaka Sandor, P.O. Vasai,Opp. Lodha Woods,Vasai Road",THANE,MAHARASHTRA,401201,PPN
Cardionova Institute Of Medical Sciences (Cims),"1296, Nakodar Road, Opp. Aar Kay Dhaba, Near Nari Niketan",JALANDHAR,PUNJAB,144001,NON PPN
Care And Cure Hospital,"Behind Rotray Club, Station Road, Bharuch,,",Bharuch,GUJARAT,392001,NON PPN
Care And Cure Nursing Home,"S N Road, Nabapalli,24 Pgs (North).,S N Road, Barasat,",KOLKATA,WEST BENGAL,700013,PPN
Care Concern Hospital Pvt Ltd,"87/A, G. T. Road (West), Serampore,Near Belting Bazar,Hoogly,",SERAMPORE,WEST BENGAL,712203,NON PPN
Care Hospital (The Institute Of Medical Sciences),"10-50-11/5, A S Raja Complex, Waltair Main Rd, Ram Nagar","VISAKHAPATN
AM",ANDHRA PRADESH,530002,NON PPN
Care Hospital,"Unit No 42, Plot No 324, Pranchi Enclave, Near Municipal Kalyan
Mandep,,Chandrashekharpur","BHUBANESWA
R",ORISSA,751016,NON PPN
Care Hospitals,"Old Mumbai Highway,,Near Cyberabad Police Comissioner Office, Hitech City",HYDERABAD,TELANGANA,500032,PPN
Care Multispeciality Hospital,"Pune Nagar Road, Kolte Arcade,Wagholi, Haveli(Tal),NIL",PUNE,MAHARASHTRA,412207,PPN
Career Institute Of Medical Sciences (Cims),"Career College Campus,,Opp Dashera Maidan,,Govindpura,NIL",BHOPAL,MADHYA PRADESH,462023,NON PPN
Carepoint Hospital,"Plot No 45, Sector No 29,,Dronagiri Node, Bokadvira,,Uran,NIL",NAVI MUMBAI,MAHARASHTRA,400702,PPN
Carewell Hospital And Research Centre (P) Ltd,"Nullippady,Near New Bus Stand,,KasaragodNIL",KASARGOD,KERALA,671121,NON PPN
Centre For Sight,"Abc-1,1st & 2nd Floor,Near St.Xaviers Collage,,Opp Bagh Bakeri
Lounge,,NavrangpuraAhemdabad",AHMEDABAD,GUJARAT,380009,PPN
Centre For Sight,"Ashoka Plaza,1st & 2nd Floor,,Jawahar Nagar, Nh-2, Bypass Road,,Near Omex Srk
Mall,NIL",AGRA,UTTAR PRADESH,282002,NON PPN
Centre For Sight,"Plot No. 399/1,,New Railway Road, Bhim Nagar,,Sector-6NIL",GURGAON,HARYANA,122006,PPN
Centre For Sight (Indore),"Plot No. 124, Sector-Ab,,Scheme-54,,Vijay NagarNIL",INDORE,MADHYA PRADESH,452001,PPN
Centre For Sight,"34-35, Mouzi Colony, Near HDFC Bank, Malviya Nagar",JAIPUR,RAJASTHAN,302017,PPN
Centre For Sight Moradabad,"At- Vivekanand Hospital & Research Centre,,Kanth Road,",MORADABAD,UTTAR PRADESH,244001,NON PPN
Centre For Sight Jodhpur,"562, 7th C Road, Near Satsang Bhavan,Sardarpura",JODHPUR,RAJASTHAN,342001,NON PPN
Centre For Sight Faridabad,"Plot No.1, Huda Market No.1,,Beside Hanuman Mandir,,Sector-16aNIL",FARIDABAD,HARYANA,121001,PPN
Centre For Sight Mohali,"35, Phase-Vii,Sas Nagar",MOHALI,PUNJAB,160061,NON PPN
Centre For Sight Pvt Ltd (Hyderabad),"Road No. 2, Banjara Hills,",HYDERABAD,TELANGANA,500034,PPN
"Centre For Sight( A Unit Of New Delhi Centre For Sight Ltd
)","Survy No.126,Plot No.10,,Beside More Mehastore,Nizamdet X
Roads,,Kukarpally,NIL",HYDERABAD,TELANGANA,500063,NON PPN
Centre For Sight Ashok Vihar,"B-2,,Ashok Vihar,Phase-2,NIL",DELHI,DELHI,110052,PPN
Centre For Sight Vikas Puri,"A3,Opp Metro Pillar No62,,Majafgarh Road,Near Uttam Nagar East Metro
Station,NIL",NEW DELHI,DELHI,110018,PPN
Centre For Sight-Jaipur(Vaishali Nagar),"1st & 2nd Floor, Unique Aspire,,C-13-14, Cosmos Colony, Amrapali Marg
Vaish,Vaishali Nagar",JAIPUR,RAJASTHAN,302021,PPN
Century Super Speciality Hospital Pvt. Ltd,"8-2-703, Road No 12,Telangana,,Banjara HillsNIL",HYDERABAD,TELANGANA,500034,PPN
Chaitanya Superspeciality Hospital,"Bhoir Colony, Near Ramkrishna More Sabhagruh,,Opp Of Tata Motors Gate,NIL",PUNE,MAHARASHTRA,411033,PPN
Chaithanya Ent Hospital,"38/685A, Sahodaran Ayyappan Road,,Near Nalayala Nanoraha,CochinSA Road",KOCHI,KERALA,682016,NON PPN
Chaitanya Eye Hospital And Research Institute,"Kesavadasapuram, Vadakkevila P.O., Pallimukku,",TRIVANDRUM,KERALA,695004,NON PPN
Challa Eye Care Centre,"8-2-268/R/9-P, Sagar Society Main Road, Road No 2, Banjara Hills",HYDERABAD,TELANGANA,500034,PPN
Chanda Devi Memorial Hospital,"71-A,Devi Nagar,New Sanganer Road,Sodala,Metro Pillar No.79,NIL",JAIPUR,RAJASTHAN,302019,PPN
Chandan Hospital And Icu,"Old Navrang Talkies Compound,Opp. Utsav Hotel, Raopura,,Baroda Talkies
Compound,Raopura,NIL",VADODARA,GUJARAT,390001,NON PPN
CHANDAN HOSPITAL,"397, Guru Arjun Dev Nagar, Dilawari Road",AMRITSAR,PUNJAB,143001,PPN
Chanddni Hospital,"3-L-1,2, Talwandi, Kota,,NIL",KOTA,RAJASTHAN,324005,NON PPN
Chandni Hospital,"9/60, Arya Nagar, Khalasi Line",KANPUR,UTTAR PRADESH,208002,NON PPN
"Chanre Rheumatology And Immunology Centre And
Research Centre","No-414/65, 20th Main, west of Chord Road, 1st Block, Rajajinagar,",BANGALORE,KARNATAKA,560010,PPN
Charring Cross Nursing Home Pvt Ltd,"2c, Motilal Basak Lane,,Kolkata,Near Phool Bagan Police Station,KolkataNIL",KOLKATA,WEST BENGAL,700054,PPN
Chauhan Multispeciality And Trauma Centre,"Kotli Village, Pathankot Amritsar Highway",PATHANKOT,PUNJAB,145025,NON PPN
Chavan Hospital,"54, Stadium Road, Vastu Udyog, Ajmera, Pimpri,Chavan Hospital Bus StopNIL",PUNE,MAHARASHTRA,411018,PPN
Chawla Heart Care Centre,"521, New Jawahar Nagar,,Near Gurunanak Mission Chowk,",Jalandhar,PUNJAB,144001,NON PPN
Chawla Nursing Home And Hospital,"K. No. 1 & 2,,Phase-Vll, Sector 60,,MohaliNIL",MOHALI,PUNJAB,160055,PPN
Chaya Hospital,"6c-335,4th C Main Rd,6 Th Cross<Ombr Layout,Bhuvangiri",Bangalore,KARNATAKA,560043,PPN
Chaya Super Speciality Hospital,"Channasandra Main Rd,6, 5th B,NIL",BANGALORE,KARNATAKA,560043,PPN
Chennai Eye Care Hospital,"No.6,12 Th Cross Street,Dhandeeswaram Nagar,,Velachery",Chennai,TAMILNADU,600042,PPN
Chennai Krishna Hospital,"297, Gst Road,Near Mit Flyover,Chrompet",Chennai,TAMILNADU,600044,PPN
Chennai Meenakshi Multi Speciality Hospital Ltd.,"72/149, Luz Church Road, Mylapore",CHENNAI,TAMILNADU,600004,PPN
Chettinad Super Specilality Hospital,"Chettinad Health City,,Rajiv Gandhi Salai, Kelambakkam",CHENNAI,TAMILNADU,603103,PPN
Chhabra Hospital,"1-A,Narain Singh Park,Assandh Road,,(Near Seema Theatre),,PanipatNIL",PANIPAT,HARYANA,132103,NON PPN
Chhavi Eye Hospital,"No. 2567, Kamla Nehru Nagar,,Near Telecom, Factory Gate No. 2,,Wright TownNIL",JABALPUR,MADHYA PRADESH,482002,NON PPN
Chinmaya Vision,"28 Bhera Enclave, Near Radiation Blue Hotel, Outer Ring Road, Paschim Vihar",NEW DELHI,DELHI,110087,PPN
Chirayu Hospital,"Hathoj,Kalwar Road,P.O.JaipurGovindpura",JAIPUR,RAJASTHAN,302012,PPN
Chittaranjan Advance Medical Referral Institute (Camri),"Bamchandai Pur, G T Road,,N H-2, Gangpur,,BurdwanNIL",BURDHWAN,WEST BENGAL,713101,NON PPN
Chodankar Nursing Home and reseach Centre,"Alto, Porvorim, Next to HDFC Bank, Bardez, Goa 403521Bardez",GOA,GOA,403521,NON PPN
Chord Road Hospital Pvt.Ltd,"No.100, Lic Colony West Of Chord Road,Basaweshwarnagar,Near Shankar
Mutt,BangaloreBangalore",BANGALORE,KARNATAKA,560079,PPN
Christian Medical College And Hospital (CMC),Brown RoadLudhiana,LUDHIANA,PUNJAB,141008,PPN
Church Of South India Hospital,"2 Hazarat Kambal Posh Road,,Bangalore",Bangalore,KARNATAKA,560051,NON PPN
Ciigma Institute Of Medical Sciences (P) Ltd.,"3-13-341, Raghuveer Nagar,,Opp. St. Francis High School,Jalna Road,NIL",AURANGABAD,MAHARASHTRA,431001,NON PPN
